Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C18, C2, C23, C3, C4, C5, C6, C7, C8",1206,12,22uF 25V,C12891
"C11, C13, C15, C17, C19, C20, C24, C9",0402,8,100nF,C307331
"C12, C14",0603,2,10uF 10V,C19702
D1,0603,1,LED0,C2286
D10,0603,1,LED3,C2286
D2,0603,1,LED1,C2286
D3,0603,1,LED 5V,C2286
D4,0603,1,LED 2V5,C2286
D5,0603,1,LED 3V3,C2286
D6,0603,1,RX,C2286
D7,0603,1,TX,C2286
D8,SOT-23,1,BAT54C,C37704
D9,0603,1,LED2,C2286
FB1,0805,1,FerriteBead,C85840
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C5184243
"JX1, JX2",BergStak-100pos-plug-61083-101400,2,~,C2764776
"L2, L3",1210,2,1 uH,C47492669
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,C400505
"R1, R16, R25, R26, R30, R5",0402,6,1k 1%,C11702
R10,0402,1,5.6k 1%,C25908
"R11, R23, R8",0402,3,100k 1%,C25741
"R12, R22, R27",0402,3,3k,C22978
"R13, R15, R17, R18, R19, R20, R21, R24",0402,8,150 1%,C25082
"R14, R6",0402,2,316k 1%,C4338094
R2,0402,1,100 1%,C25076
"R28, R29",0402,2,5.1k,C25905
"R3, R4",0402,2,27,C413051
R7,0402,1,10k,C25744
R9,0402,1,453k 1%,C3025678
"SW1, SW2",Switch-TH_4P-L6.0-W6.0-P4.50-LS6.5,2,SW_MEC_5E,C445493
"SW3, SW4",SW_SPDT_PCM12,2,SW_SPDT,C221841
U1,SOT-25-5_L3.0-W1.8-P0.95-LS3.0-BR,1,AP331A,C151034
"U2, U9",SOT-563,2,TLV62568PDRLR,C398368
U3,SSOP-16_3.9x4.9mm_P0.635mm,1,FT230XS,C69082
